2021-03-14 02:12:42,542 passlib.registry registered 'md5_crypt' handler: <class 'passlib.handlers.md5_crypt.md5_crypt'>
2021-03-14 02:12:42,840 p=2269 u=root |  PLAY [Initialization Checkpoint Start] ******************************************************************************************************************************************
2021-03-14 02:12:42,993 p=2269 u=root |  TASK [Set install initialization 'In Progress'] *********************************************************************************************************************************
2021-03-14 02:12:43,186 p=2269 u=root |  ok: [master.okd.me]
2021-03-14 02:12:43,199 p=2269 u=root |  PLAY [Populate config host groups] **********************************************************************************************************************************************
2021-03-14 02:12:43,221 p=2269 u=root |  TASK [Load group name mapping variables] ****************************************************************************************************************************************
2021-03-14 02:12:43,342 p=2269 u=root |  ok: [localhost]
2021-03-14 02:12:43,356 p=2269 u=root |  TASK [Evaluate groups - g_nfs_hosts is single host] *****************************************************************************************************************************
2021-03-14 02:12:43,390 p=2269 u=root |  skipping: [localhost]
2021-03-14 02:12:43,503 p=2269 u=root |  TASK [Evaluate oo_all_hosts] ****************************************************************************************************************************************************
2021-03-14 02:12:43,736 p=2269 u=root |  ok: [localhost] => (item=master.okd.me)
2021-03-14 02:12:43,744 p=2269 u=root |  ok: [localhost] => (item=node01.okd.me)
2021-03-14 02:12:43,754 p=2269 u=root |  ok: [localhost] => (item=node02.okd.me)
2021-03-14 02:12:43,765 p=2269 u=root |  TASK [Evaluate oo_masters] ******************************************************************************************************************************************************
2021-03-14 02:12:43,818 p=2269 u=root |  ok: [localhost] => (item=master.okd.me)
2021-03-14 02:12:43,825 p=2269 u=root |  TASK [Evaluate oo_first_master] *************************************************************************************************************************************************
2021-03-14 02:12:43,867 p=2269 u=root |  ok: [localhost]
2021-03-14 02:12:43,875 p=2269 u=root |  TASK [Evaluate oo_new_etcd_to_config] *******************************************************************************************************************************************
2021-03-14 02:12:43,904 p=2269 u=root |  TASK [Evaluate oo_masters_to_config] ********************************************************************************************************************************************
2021-03-14 02:12:43,968 p=2269 u=root |  ok: [localhost] => (item=master.okd.me)
2021-03-14 02:12:43,976 p=2269 u=root |  TASK [Evaluate oo_etcd_to_config] ***********************************************************************************************************************************************
2021-03-14 02:12:44,024 p=2269 u=root |  ok: [localhost] => (item=master.okd.me)
2021-03-14 02:12:44,032 p=2269 u=root |  TASK [Evaluate oo_first_etcd] ***************************************************************************************************************************************************
2021-03-14 02:12:44,073 p=2269 u=root |  ok: [localhost]
2021-03-14 02:12:44,080 p=2269 u=root |  TASK [Evaluate oo_etcd_hosts_to_upgrade] ****************************************************************************************************************************************
2021-03-14 02:12:44,123 p=2269 u=root |  ok: [localhost] => (item=master.okd.me)
2021-03-14 02:12:44,133 p=2269 u=root |  TASK [Evaluate oo_etcd_hosts_to_backup] *****************************************************************************************************************************************
2021-03-14 02:12:44,184 p=2269 u=root |  ok: [localhost] => (item=master.okd.me)
2021-03-14 02:12:44,195 p=2269 u=root |  TASK [Evaluate oo_nodes_to_config] **********************************************************************************************************************************************
2021-03-14 02:12:44,254 p=2269 u=root |  ok: [localhost] => (item=master.okd.me)
2021-03-14 02:12:44,257 p=2269 u=root |  ok: [localhost] => (item=node01.okd.me)
2021-03-14 02:12:44,264 p=2269 u=root |  ok: [localhost] => (item=node02.okd.me)
2021-03-14 02:12:44,276 p=2269 u=root |  TASK [Evaluate oo_lb_to_config] *************************************************************************************************************************************************
2021-03-14 02:12:44,312 p=2269 u=root |  TASK [Evaluate oo_nfs_to_config] ************************************************************************************************************************************************
2021-03-14 02:12:44,343 p=2269 u=root |  TASK [Evaluate oo_glusterfs_to_config] ******************************************************************************************************************************************
2021-03-14 02:12:44,377 p=2269 u=root |  TASK [Evaluate oo_etcd_to_migrate] **********************************************************************************************************************************************
2021-03-14 02:12:44,444 p=2269 u=root |  ok: [localhost] => (item=master.okd.me)
2021-03-14 02:12:44,455 p=2269 u=root |   [WARNING]: Could not match supplied host pattern, ignoring: oo_lb_to_config

2021-03-14 02:12:44,456 p=2269 u=root |   [WARNING]: Could not match supplied host pattern, ignoring: oo_nfs_to_config

2021-03-14 02:12:44,464 p=2269 u=root |  PLAY [Ensure that all non-node hosts are accessible] ****************************************************************************************************************************
2021-03-14 02:12:44,476 p=2269 u=root |  TASK [Gathering Facts] **********************************************************************************************************************************************************
2021-03-14 02:12:46,863 p=2269 u=root |  ok: [master.okd.me]
2021-03-14 02:12:46,886 p=2269 u=root |  PLAY [Initialize basic host facts] **********************************************************************************************************************************************
2021-03-14 02:12:46,917 p=2269 u=root |  TASK [Gathering Facts] **********************************************************************************************************************************************************
2021-03-14 02:12:48,120 p=2269 u=root |  ok: [master.okd.me]
2021-03-14 02:12:51,089 p=2269 u=root |  ok: [node01.okd.me]
2021-03-14 02:12:51,115 p=2269 u=root |  ok: [node02.okd.me]
2021-03-14 02:12:51,150 p=2269 u=root |  TASK [openshift_sanitize_inventory : include_tasks] *****************************************************************************************************************************
2021-03-14 02:12:51,456 p=2269 u=root |  included: /usr/share/ansible/openshift-ansible/roles/openshift_sanitize_inventory/tasks/deprecations.yml for master.okd.me, node01.okd.me, node02.okd.me
2021-03-14 02:12:51,535 p=2269 u=root |  TASK [openshift_sanitize_inventory : Check for usage of deprecated variables] ***************************************************************************************************
2021-03-14 02:12:51,674 p=2269 u=root |  ok: [master.okd.me]
2021-03-14 02:12:51,724 p=2269 u=root |  ok: [node01.okd.me]
2021-03-14 02:12:51,774 p=2269 u=root |  ok: [node02.okd.me]
